 -28    2   20   (number of answers: 1), answers: [-10.0]
 -28  -72   (number of answers: 1), answers: [-2.5714285714285716]
 -15    4   (number of answers: 1), answers: [0.26666666666666666]
   0   24  -75   (number of answers: 1), answers: [3.125]
 -48  -46    2   (number of answers: 1), answers: [0.043478260869565216]
  21    0  -36   (number of answers: 0), answers: []
   9    0   -3    0    0   (number of answers: 1), answers: [0.0]
  39    0   19    0   72   (number of answers: 0), answers: []
  -8    0   34    0   16   (number of answers: 0), answers: []
 -12    0   20    0   22   (number of answers: 0), answers: []
   0    0   16    0   88   (number of answers: 0), answers: []
 -26    0    0    0   -6   (number of answers: 0), answers: []
 -28    0   (number of answers: 1), answers: [-0.0]
 -63   16   (number of answers: 1), answers: [0.25396825396825395]
  12    6   (number of answers: 1), answers: [-0.5]
  30   44   (number of answers: 1), answers: [-1.4666666666666666]
   0    0    0    0  -42   (number of answers: 0), answers: []
  12    0   38    0   19   (number of answers: 0), answers: []
 -15    0  -14    0    0   (number of answers: 1), answers: [0.0]
   0    0  -12    0   12   (number of answers: 0), answers: []
   0    0   -4    0   -4   (number of answers: 0), answers: []
 -51    0    9    0   11   (number of answers: 0), answers: []
   0    0infinite number of answers
   0  -63   (number of answers: 0), answers: []
   0   60   (number of answers: 0), answers: []
   0  -16   (number of answers: 0), answers: []
   0   -4   (number of answers: 0), answers: []
   0  -88   (number of answers: 0), answers: []
   0   57   (number of answers: 0), answers: []
 100   -7   (number of answers: 1), answers: [0.07]
 -50    0   (number of answers: 1), answers: [-0.0]
   0    0infinite number of answers
  52   -7    0   (number of answers: 1), answers: [-0.0]
  12   18   52   (number of answers: 1), answers: [-2.888888888888889]
 -14  -88   44   (number of answers: 1), answers: [0.5]
 -36  -60    0   (number of answers: 1), answers: [-0.0]
  33  -18    0   (number of answers: 1), answers: [-0.0]
   0    0   -2   (number of answers: 0), answers: []
   0    0infinite number of answers
   0   36   (number of answers: 0), answers: []
   0    9   (number of answers: 0), answers: []
   0    8   (number of answers: 0), answers: []
  56   22  -66   (number of answers: 1), answers: [3.0]
   0    0   69   (number of answers: 0), answers: []
  15    0   28   (number of answers: 0), answers: []
  -8    6   (number of answers: 1), answers: [0.75]
  63    0   (number of answers: 1), answers: [0.0]
   0  -18   (number of answers: 0), answers: []
 -15  -60   (number of answers: 1), answers: [-4.0]
 -44    0    0    0    0infinite number of answers
  46    0  -92    0  -40   (number of answers: 0), answers: []
   0    0   24    0   24   (number of answers: 0), answers: []
  21    8   (number of answers: 1), answers: [-0.38095238095238093]
 -45    0   (number of answers: 1), answers: [-0.0]
  12    0   10    0    0   (number of answers: 1), answers: [0.0]
  12    0  -60    0   45   (number of answers: 0), answers: []
 -16    0  -15    0  -32   (number of answers: 0), answers: []
  21  -63   (number of answers: 1), answers: [3.0]
  48  -60   (number of answers: 1), answers: [1.25]
  18    0  -12    0   60   (number of answers: 0), answers: []
  -9    0    5    0  -18   (number of answers: 0), answers: []
  -2    0  -36    0   10   (number of answers: 0), answers: []
   0    0  -92    0  -76   (number of answers: 0), answers: []
 -96    0   36    0  -75   (number of answers: 0), answers: []
   0    0   39    0   -4   (number of answers: 0), answers: []
 -42    0  -24    0    0   (number of answers: 1), answers: [0.0]
  25    0   66    0  -33   (number of answers: 0), answers: []
 -44    0    0    0   10   (number of answers: 0), answers: []
 -15   22   (number of answers: 1), answers: [1.4666666666666666]
   0  -84   (number of answers: 0), answers: []
   0   12  -69   (number of answers: 1), answers: [5.75]
  50  -15  -10   (number of answers: 1), answers: [-0.6666666666666666]
  22   -1  -52   (number of answers: 1), answers: [-52.0]
 -17    4   (number of answers: 1), answers: [0.23529411764705882]
  23  -66   (number of answers: 1), answers: [2.869565217391304]
  10    0   44    0    0   (number of answers: 1), answers: [0.0]
 -30    0  -72    0   36   (number of answers: 0), answers: []
 -10    0   96    0    0   (number of answers: 1), answers: [0.0]
   2   21   (number of answers: 1), answers: [-10.5]
  72   19   (number of answers: 1), answers: [-0.2638888888888889]
  92   80    0   (number of answers: 1), answers: [0.0]
  96   92   12   (number of answers: 1), answers: [-0.13043478260869565]
  36  -42   12   (number of answers: 1), answers: [0.2857142857142857]
  44    0  -10    0  -44   (number of answers: 0), answers: []
   8    0  -42    0   23   (number of answers: 0), answers: []
  -9    0  -24    0  -27   (number of answers: 0), answers: []
 -19  -20    4   (number of answers: 1), answers: [0.2]
  -4    0   36   (number of answers: 0), answers: []
 -13    0  -32   (number of answers: 0), answers: []
  16   14   66   (number of answers: 1), answers: [-4.714285714285714]
   0  -24  -14   (number of answers: 1), answers: [-0.5833333333333334]
 -44  -22    0   (number of answers: 1), answers: [-0.0]
  30  -44   (number of answers: 1), answers: [1.4666666666666666]
   2   60   (number of answers: 1), answers: [-30.0]
  60  -52   40   (number of answers: 1), answers: [0.7692307692307693]
  -6  -60    6   (number of answers: 1), answers: [0.1]
   0    0  -32   (number of answers: 0), answers: []
  24   17    3   (number of answers: 1), answers: [-0.17647058823529413]
  15    9  -76   (number of answers: 1), answers: [8.444444444444445]
   0    8   96   (number of answers: 1), answers: [-12.0]
   0   -4  -11   (number of answers: 1), answers: [-2.75]
  28  -48    5   (number of answers: 1), answers: [0.10416666666666667]
 -64   52  -76   (number of answers: 1), answers: [1.4615384615384615]
 -21   -7   (number of answers: 1), answers: [-0.3333333333333333]
 -30    0   (number of answers: 1), answers: [-0.0]
   0  -57   (number of answers: 0), answers: []
  68    0   (number of answers: 1), answers: [0.0]
 -21    0    6    0   -5   (number of answers: 0), answers: []
 -32    0    0    0  -80   (number of answers: 0), answers: []
  20    0    8    0    0   (number of answers: 1), answers: [0.0]
  -4  -48   63   (number of answers: 1), answers: [1.3125]
  15    0   -7   (number of answers: 0), answers: []
   0    8   45   (number of answers: 1), answers: [-5.625]
   2   23  -32   (number of answers: 1), answers: [1.391304347826087]
 -24    2   44   (number of answers: 1), answers: [-22.0]
   0   -8   -5   (number of answers: 1), answers: [-0.625]
  10    0    2    0    0   (number of answers: 1), answers: [0.0]
   1    0    0    0   -2   (number of answers: 0), answers: []
 -66    0    0    0    0infinite number of answers
 -72   12   15   (number of answers: 1), answers: [-1.25]
   0  -32   16   (number of answers: 1), answers: [0.5]
   0    0    0infinite number of answers
   0    0    8    0   14   (number of answers: 0), answers: []
 -22    0    0    0  -14   (number of answers: 0), answers: []
  75    0    8    0   19   (number of answers: 0), answers: []
  12    0   92    0   64   (number of answers: 0), answers: []
  12    0  -25    0   84   (number of answers: 0), answers: []
  -4    0    0    0   28   (number of answers: 0), answers: []
  -6  -40    0   (number of answers: 1), answers: [-0.0]
 -84    0  -33   (number of answers: 0), answers: []
  26    0   57   (number of answers: 0), answers: []
  40   72   60   (number of answers: 1), answers: [-0.8333333333333334]
 -17  -18    0   (number of answers: 1), answers: [-0.0]
  18   20   84   (number of answers: 1), answers: [-4.2]
  12    0  -88    0   -6   (number of answers: 0), answers: []
  40    0  -27    0    0   (number of answers: 1), answers: [0.0]
   0    0  -16    0   24   (number of answers: 0), answers: []
 -24   22  -24   (number of answers: 1), answers: [1.0909090909090908]
   0    4    0   (number of answers: 1), answers: [0.0]
   0  -20    0   (number of answers: 1), answers: [-0.0]
 -72    0   -4    0  -75   (number of answers: 0), answers: []
 -32    0  -16    0  -15   (number of answers: 0), answers: []
  16    0    0    0   40   (number of answers: 0), answers: []
  -4   11   (number of answers: 1), answers: [2.75]
 -34    0   (number of answers: 1), answers: [-0.0]
 -15    0    0    0    0infinite number of answers
 -60    0   24    0  -46   (number of answers: 0), answers: []
   6    0  -12    0    0   (number of answers: 1), answers: [0.0]
 -30    5   (number of answers: 1), answers: [0.16666666666666666]
  12   -2   (number of answers: 1), answers: [0.16666666666666666]
  15    0  -64    0   28   (number of answers: 0), answers: []
  14    0   -5    0  -23   (number of answers: 0), answers: []
  15    0    0    0    0infinite number of answers
 -16 -100   13   (number of answers: 1), answers: [0.13]
   8  -40  -30   (number of answers: 1), answers: [-0.75]
  30   45  -21   (number of answers: 1), answers: [0.4666666666666667]
 -42  -68   (number of answers: 1), answers: [-1.619047619047619]
   0    0infinite number of answers
   0    0  -32    0  -57   (number of answers: 0), answers: []
   4    0   22    0    0   (number of answers: 1), answers: [0.0]
 -19    0  -12    0  -18   (number of answers: 0), answers: []
 -20   50   (number of answers: 1), answers: [2.5]
 -36  -40   (number of answers: 1), answers: [-1.1111111111111112]
 -72  -17    0   (number of answers: 1), answers: [-0.0]
  17  -30   57   (number of answers: 1), answers: [1.9]
 -18    0    0infinite number of answers
 -30  -20    9   (number of answers: 1), answers: [0.45]
  20   18   60   (number of answers: 1), answers: [-3.3333333333333335]
  48   48  -92   (number of answers: 1), answers: [1.9166666666666667]
  -8    0  -48    0    0   (number of answers: 1), answers: [0.0]
 -48    0  -21    0   96   (number of answers: 0), answers: []
   0    0    0    0  -80   (number of answers: 0), answers: []
  21   92   51   (number of answers: 1), answers: [-0.5543478260869565]
  10   42    6   (number of answers: 1), answers: [-0.14285714285714285]
 -69  -30  -16   (number of answers: 1), answers: [-0.5333333333333333]
 -80    0   22    0    4   (number of answers: 0), answers: []
  80    0   17    0  -45   (number of answers: 0), answers: []
   7    0   -3    0    0   (number of answers: 1), answers: [0.0]
   4   10   (number of answers: 1), answers: [-2.5]
   0   52   (number of answers: 0), answers: []
  23  -39   (number of answers: 1), answers: [1.6956521739130435]
 -66   28   (number of answers: 1), answers: [0.42424242424242425]
  45    0   (number of answers: 1), answers: [0.0]
 -18   -4   (number of answers: 1), answers: [-0.2222222222222222]
   0    0    0    0   28   (number of answers: 0), answers: []
 -42    0   72    0   -2   (number of answers: 0), answers: []
   5    0    6    0   -3   (number of answers: 0), answers: []
   0    0    0    0    0infinite number of answers
  20    0  -36    0  -23   (number of answers: 0), answers: []
  23    0   30    0   21   (number of answers: 0), answers: []
   0   24  -18   (number of answers: 1), answers: [0.75]
  24  -34  -63   (number of answers: 1), answers: [-1.8529411764705883]
   2  -34  -42   (number of answers: 1), answers: [-1.2352941176470589]
 -13   13   (number of answers: 1), answers: [1.0]
   4  -24   (number of answers: 1), answers: [6.0]
  36    0  -57    0   63   (number of answers: 0), answers: []
   0    0  -11    0  -30   (number of answers: 0), answers: []
 -23    0  -12    0  -13   (number of answers: 0), answers: []
   0    0  -22    0    8   (number of answers: 0), answers: []
  40    0   23    0  -36   (number of answers: 0), answers: []
 -48    0  -36    0  -46   (number of answers: 0), answers: []
   8   45    0   (number of answers: 1), answers: [0.0]
 -22   80   42   (number of answers: 1), answers: [-0.525]
 100  -14   16   (number of answers: 1), answers: [1.1428571428571428]
   0    0infinite number of answers
  18  -56   (number of answers: 1), answers: [3.111111111111111]
 -50   25   (number of answers: 1), answers: [0.5]
 -28  -57   (number of answers: 1), answers: [-2.0357142857142856]
  24  -64  -13   (number of answers: 1), answers: [-0.203125]
  30   50   51   (number of answers: 1), answers: [-1.02]
   0   23   72   (number of answers: 1), answers: [-3.130434782608696]
   0  -40   (number of answers: 0), answers: []
 -88  -48   (number of answers: 1), answers: [-0.5454545454545454]
   0  -75  -32   (number of answers: 1), answers: [-0.4266666666666667]
   0  -15 -100   (number of answers: 1), answers: [-6.666666666666667]
   0   27  -51   (number of answers: 1), answers: [1.8888888888888888]
   6  -75   (number of answers: 1), answers: [12.5]
   0    0infinite number of answers
  30    0   (number of answers: 1), answers: [0.0]
   0   10   (number of answers: 0), answers: []
   0    0   46    0    0   (number of answers: 1), answers: [0.0]
   0    0  -92    0   10   (number of answers: 0), answers: []
   0    0  -16    0 -100   (number of answers: 0), answers: []
  51    0   (number of answers: 1), answers: [0.0]
 -32  -19   (number of answers: 1), answers: [-0.59375]
  72    0    0    0  -92   (number of answers: 0), answers: []
  44    0   -4    0   56   (number of answers: 0), answers: []
 -27    0   66    0  -52   (number of answers: 0), answers: []
   0   -6   (number of answers: 0), answers: []
 -24  -28   (number of answers: 1), answers: [-1.1666666666666667]
   6    0    0    0   30   (number of answers: 0), answers: []
 -40    0   28    0  -15   (number of answers: 0), answers: []
  20    0   72    0   51   (number of answers: 0), answers: []
  39    0    8    0  -24   (number of answers: 0), answers: []
 -12    0    0    0   51   (number of answers: 0), answers: []
   0    0    3    0    0   (number of answers: 1), answers: [0.0]
   0    0   -8    0  -16   (number of answers: 0), answers: []
 -24    0   12    0   51   (number of answers: 0), answers: []
   7    0   44    0    0   (number of answers: 1), answers: [0.0]
 -20   12  -38   (number of answers: 1), answers: [3.1666666666666665]
  42    0  -40   (number of answers: 0), answers: []
   0  -72   64   (number of answers: 1), answers: [0.8888888888888888]
  64   -9   (number of answers: 1), answers: [0.140625]
  36   54   (number of answers: 1), answers: [-1.5]
  15  -18   (number of answers: 1), answers: [1.2]
 -13   25   (number of answers: 1), answers: [1.9230769230769231]
   0   60    6   (number of answers: 1), answers: [-0.1]
  84    8    0   (number of answers: 1), answers: [0.0]
  18  -26   11   (number of answers: 1), answers: [0.4230769230769231]
   0    8   (number of answers: 0), answers: []
  -4  -84   (number of answers: 1), answers: [-21.0]
  88   22   (number of answers: 1), answers: [-0.25]
   0  -40   (number of answers: 0), answers: []
  13    0  -22    0   23   (number of answers: 0), answers: []
  18    0    0    0  -64   (number of answers: 0), answers: []
   1    0    0    0   21   (number of answers: 0), answers: []
  -4  -54    0   (number of answers: 1), answers: [-0.0]
   5    9    0   (number of answers: 1), answers: [0.0]
   0  -57  -60   (number of answers: 1), answers: [-1.0526315789473684]
 -92  -92  -63   (number of answers: 1), answers: [-0.6847826086956522]
 -48   27   10   (number of answers: 1), answers: [-0.37037037037037035]
  44    0   44   (number of answers: 0), answers: []
 -44    0  -17    0   32   (number of answers: 0), answers: []
  54    0  -12    0  -24   (number of answers: 0), answers: []
  36    0  -33    0   40   (number of answers: 0), answers: []
 -21   34   14   (number of answers: 1), answers: [-0.4117647058823529]
 -60  -21  -36   (number of answers: 1), answers: [-1.7142857142857142]
  -6  -17  -30   (number of answers: 1), answers: [-1.7647058823529411]
 -34   27   (number of answers: 1), answers: [0.7941176470588235]
 -42   34   (number of answers: 1), answers: [0.8095238095238095]
   8    0  -48    0    0   (number of answers: 1), answers: [0.0]
  42    0   14    0   38   (number of answers: 0), answers: []
  75    0  -51    0  -21   (number of answers: 0), answers: []
  33   -5   (number of answers: 1), answers: [0.15151515151515152]
  10    0   (number of answers: 1), answers: [0.0]
 -20  -17   (number of answers: 1), answers: [-0.85]
   0    0infinite number of answers
 -44   18   (number of answers: 1), answers: [0.4090909090909091]
   0    8   (number of answers: 0), answers: []
  17    0  -33    0   23   (number of answers: 0), answers: []
 -16    0   92    0  -56   (number of answers: 0), answers: []
  39    0   -9    0    0   (number of answers: 1), answers: [0.0]
 -10  -20    0   (number of answers: 1), answers: [-0.0]
   0   48    0   (number of answers: 1), answers: [0.0]
 -24  -32   56   (number of answers: 1), answers: [1.75]
   0   14    8   (number of answers: 1), answers: [-0.5714285714285714]
  30   52  -60   (number of answers: 1), answers: [1.1538461538461537]
 -76   92  -32   (number of answers: 1), answers: [0.34782608695652173]
 -30    0   14    0  -22   (number of answers: 0), answers: []
 -32    0  -20    0    0   (number of answers: 1), answers: [0.0]
  13    0    3    0    0   (number of answers: 1), answers: [0.0]
   2   76   (number of answers: 1), answers: [-38.0]
  96    0   (number of answers: 1), answers: [0.0]
   0  -34   (number of answers: 0), answers: []
 -63  -33   (number of answers: 1), answers: [-0.5238095238095238]
 -44    9   (number of answers: 1), answers: [0.20454545454545456]
   9  -16   (number of answers: 1), answers: [1.7777777777777777]
 -84    0    0    0  -32   (number of answers: 0), answers: []
 -33    0  -80    0   -4   (number of answers: 0), answers: []
 -18    0  -38    0    0   (number of answers: 1), answers: [0.0]
   0    0infinite number of answers
 -32    0   (number of answers: 1), answers: [-0.0]
  16    0  -96    0   18   (number of answers: 0), answers: []
 -20    0   92    0  -39   (number of answers: 0), answers: []
  -3    0   84    0   14   (number of answers: 0), answers: []
  20    8   (number of answers: 1), answers: [-0.4]
 -20   92   (number of answers: 1), answers: [4.6]
   0    0   28    0  -28   (number of answers: 0), answers: []
 -44    0   16    0    0   (number of answers: 1), answers: [0.0]
  26    0   92    0   13   (number of answers: 0), answers: []
  12    8  -28   (number of answers: 1), answers: [3.5]
   0  -84   39   (number of answers: 1), answers: [0.4642857142857143]
   0   -6  -60   (number of answers: 1), answers: [-10.0]
   0    4   20   (number of answers: 1), answers: [-5.0]
 -36   -7    0   (number of answers: 1), answers: [-0.0]
 -42   48   48   (number of answers: 1), answers: [-1.0]
 -42    0    0    0   18   (number of answers: 0), answers: []
 -15    0   51    0   50   (number of answers: 0), answers: []
  15    0    0    0   44   (number of answers: 0), answers: []
   0  -42    0   (number of answers: 1), answers: [-0.0]
 -14   10    4   (number of answers: 1), answers: [-0.4]
   0  -69   36   (number of answers: 1), answers: [0.5217391304347826]
   0   19   36   (number of answers: 1), answers: [-1.894736842105263]
   0   -4   96   (number of answers: 1), answers: [24.0]
   2   16  -84   (number of answers: 1), answers: [5.25]
   0    0    0    0   51   (number of answers: 0), answers: []
   0    0   50    0  -21   (number of answers: 0), answers: []
 -15    0    9    0    0   (number of answers: 1), answers: [0.0]
   0    0   60    0    0   (number of answers: 1), answers: [0.0]
 -38    0    0    0   21   (number of answers: 0), answers: []
  -2    0    0    0   17   (number of answers: 0), answers: []
  42  -39   56   (number of answers: 1), answers: [1.435897435897436]
   9    0   12   (number of answers: 0), answers: []
 -40    0   -8   (number of answers: 0), answers: []
  28  -88    0   (number of answers: 1), answers: [-0.0]
  46   51   15   (number of answers: 1), answers: [-0.29411764705882354]
   0   72  -18   (number of answers: 1), answers: [0.25]
-100    0    0    0   52   (number of answers: 0), answers: []
  -6    0    0    0  -20   (number of answers: 0), answers: []
  16    0  -26    0    0   (number of answers: 1), answers: [0.0]
  -7    0   36   (number of answers: 0), answers: []
  36   24    0   (number of answers: 1), answers: [0.0]
 -18   22   21   (number of answers: 1), answers: [-0.9545454545454546]
 -72    0   (number of answers: 1), answers: [-0.0]
  18  -38   (number of answers: 1), answers: [2.111111111111111]
   0  -20  -40   (number of answers: 1), answers: [-2.0]
  36    0  -38   (number of answers: 0), answers: []
  18    0   36   (number of answers: 0), answers: []
  45  -11   (number of answers: 1), answers: [0.24444444444444444]
  48    8   (number of answers: 1), answers: [-0.16666666666666666]
  96    0    0    0  -28   (number of answers: 0), answers: []
   0    0    4    0  -32   (number of answers: 0), answers: []
   0    0    0    0   23   (number of answers: 0), answers: []
   5    0    0    0    0infinite number of answers
  76    0   42    0   36   (number of answers: 0), answers: []
  24    0   57    0  -50   (number of answers: 0), answers: []
 -66    0    0    0    0infinite number of answers
  33    0   46    0    0   (number of answers: 1), answers: [0.0]
   0    0    1    0    0   (number of answers: 1), answers: [0.0]
 -48   34   (number of answers: 1), answers: [0.7083333333333334]
 -24   -6   (number of answers: 1), answers: [-0.25]
   6    0   22    0   75   (number of answers: 0), answers: []
 -69    0   -8    0  -60   (number of answers: 0), answers: []
  60    0    0    0   69   (number of answers: 0), answers: []
  48   -5  -46   (number of answers: 1), answers: [-9.2]
   6   68   42   (number of answers: 1), answers: [-0.6176470588235294]
  -4   60  -72   (number of answers: 1), answers: [1.2]
  24    0   21    0   12   (number of answers: 0), answers: []
  10    0   36    0  -50   (number of answers: 0), answers: []
  63    0   10    0  -24   (number of answers: 0), answers: []
 -48    0  -57    0    0   (number of answers: 1), answers: [0.0]
  15    0  -24    0    0   (number of answers: 1), answers: [0.0]
 -30    0  -24    0  -15   (number of answers: 0), answers: []
 -56    0  -19    0  -42   (number of answers: 0), answers: []
  -4    0   27    0   60   (number of answers: 0), answers: []
 -76    0  -75    0    4   (number of answers: 0), answers: []
  60  -11   (number of answers: 1), answers: [0.18333333333333332]
 -63  -40   (number of answers: 1), answers: [-0.6349206349206349]
   0   -7    0   (number of answers: 1), answers: [-0.0]
   6    4    0   (number of answers: 1), answers: [0.0]
  36    0   96   (number of answers: 0), answers: []
  36  -24  -57   (number of answers: 1), answers: [-2.375]
   0  -33  -20   (number of answers: 1), answers: [-0.6060606060606061]
  44  -24  -21   (number of answers: 1), answers: [-0.875]
 -36  -63   (number of answers: 1), answers: [-1.75]
  51    2   (number of answers: 1), answers: [-0.0392156862745098]
  22   -4   (number of answers: 1), answers: [0.18181818181818182]
  84  -66   (number of answers: 1), answers: [0.7857142857142857]
   6    0   92   (number of answers: 0), answers: []
 -45    5   54   (number of answers: 1), answers: [-10.8]
  18  -36    0   (number of answers: 1), answers: [-0.0]
  14    0  -34    0  -48   (number of answers: 0), answers: []
   0    0   76    0   40   (number of answers: 0), answers: []
   0    0  -30    0   51   (number of answers: 0), answers: []
  36    0   52   (number of answers: 0), answers: []
   0  -84  -84   (number of answers: 1), answers: [-1.0]
 -16  -48    0   (number of answers: 1), answers: [-0.0]
   0    0   45    0  -57   (number of answers: 0), answers: []
  -1    0   12    0   -6   (number of answers: 0), answers: []
  11    0  -10    0   40   (number of answers: 0), answers: []
  40   -2   (number of answers: 1), answers: [0.05]
  48    0   (number of answers: 1), answers: [0.0]
  51    8   (number of answers: 1), answers: [-0.1568627450980392]
   0   45   (number of answers: 0), answers: []
 -30    0   (number of answers: 1), answers: [-0.0]
  -8   40   (number of answers: 1), answers: [5.0]
  39    0    0infinite number of answers
 -54   39  -42   (number of answers: 1), answers: [1.0769230769230769]
   0    0    4   (number of answers: 0), answers: []
  19  -63  100   (number of answers: 1), answers: [1.5873015873015872]
   0  -20  -21   (number of answers: 1), answers: [-1.05]
   0   26  -34   (number of answers: 1), answers: [1.3076923076923077]
   2    0  -10   (number of answers: 0), answers: []
  24    0  -18   (number of answers: 0), answers: []
  45    0    0infinite number of answers
  84    0   24    0   12   (number of answers: 0), answers: []
  -8    0   -9    0   30   (number of answers: 0), answers: []
 -69    0  -32    0  -92   (number of answers: 0), answers: []
  72    0  -36   (number of answers: 0), answers: []
   4  -50    0   (number of answers: 1), answers: [-0.0]
  66   -9    6   (number of answers: 1), answers: [0.6666666666666666]
 -88    0   10    0  -36   (number of answers: 0), answers: []
  32    0  -63    0  -60   (number of answers: 0), answers: []
   0    0   20    0  -34   (number of answers: 0), answers: []
  57    0   10    0  -57   (number of answers: 0), answers: []
   0    0   36    0    0   (number of answers: 1), answers: [0.0]
  32    0    0    0   -3   (number of answers: 0), answers: []
 -12   48   (number of answers: 1), answers: [4.0]
 -18  -20   (number of answers: 1), answers: [-1.1111111111111112]
-100  -12   (number of answers: 1), answers: [-0.12]
  10   32   (number of answers: 1), answers: [-3.2]
   0  -12   (number of answers: 0), answers: []
   0   12   (number of answers: 0), answers: []
 -40    0   46    0   12   (number of answers: 0), answers: []
   0    0  -26    0    0   (number of answers: 1), answers: [0.0]
  23    0    0    0  -28   (number of answers: 0), answers: []
 -28    0    4   (number of answers: 0), answers: []
   0    0  -64   (number of answers: 0), answers: []
  64   13   21   (number of answers: 1), answers: [-1.6153846153846154]
   0   45   12   (number of answers: 1), answers: [-0.26666666666666666]
   0  -12   24   (number of answers: 1), answers: [2.0]
  28  -42   30   (number of answers: 1), answers: [0.7142857142857143]
  16    0   50    0   11   (number of answers: 0), answers: []
  -1    0  -36    0  -28   (number of answers: 0), answers: []
  16    0    0    0    0infinite number of answers
   0  -32   24   (number of answers: 1), answers: [0.75]
   0   46   -9   (number of answers: 1), answers: [0.1956521739130435]
 -20    0   46   (number of answers: 0), answers: []
  48   16   (number of answers: 1), answers: [-0.3333333333333333]
 -66  -60   (number of answers: 1), answers: [-0.9090909090909091]
 -48  -48  -22   (number of answers: 1), answers: [-0.4583333333333333]
 -51   57  -19   (number of answers: 1), answers: [0.3333333333333333]
  15    0  -22   (number of answers: 0), answers: []
  -4    0   24    0  -20   (number of answers: 0), answers: []
   6    0  -75    0  -30   (number of answers: 0), answers: []
  63    0   18    0   75   (number of answers: 0), answers: []
  84   63  -22   (number of answers: 1), answers: [0.3492063492063492]
 -16   -9   66   (number of answers: 1), answers: [7.333333333333333]
   0    0    0infinite number of answers
 -15    0    0    0    0infinite number of answers
  88    0   20    0  -63   (number of answers: 0), answers: []
 -25    0   63    0   96   (number of answers: 0), answers: []
  -9   36   10   (number of answers: 1), answers: [-0.2777777777777778]
   4   36  -22   (number of answers: 1), answers: [0.6111111111111112]
  24   48    0   (number of answers: 1), answers: [0.0]
  15  -33   (number of answers: 1), answers: [2.2]
  23   13   (number of answers: 1), answers: [-0.5652173913043478]
  75    0    0    0    0infinite number of answers
 -48    0  -24    0   -4   (number of answers: 0), answers: []
 -28    0   -8    0   48   (number of answers: 0), answers: []
 -24   -8   80   (number of answers: 1), answers: [10.0]
   3  -30   66   (number of answers: 1), answers: [2.2]
 -21  -64   72   (number of answers: 1), answers: [1.125]
   0    0    0    0  -48   (number of answers: 0), answers: []
  -3    0  -40    0    9   (number of answers: 0), answers: []
 -10    0  -36    0    0   (number of answers: 1), answers: [0.0]
  15   32    0   (number of answers: 1), answers: [0.0]
   5  -27   76   (number of answers: 1), answers: [2.814814814814815]
 -24   26    0   (number of answers: 1), answers: [0.0]
   0    0    0    0   -1   (number of answers: 0), answers: []
   0    0   27    0   40   (number of answers: 0), answers: []
  66    0  -44    0  -20   (number of answers: 0), answers: []
   2   48   34   (number of answers: 1), answers: [-0.7083333333333334]
  20    0    0infinite number of answers
   0   44  -12   (number of answers: 1), answers: [0.2727272727272727]
  13    0   45    0   -9   (number of answers: 0), answers: []
   0    0   -8    0   60   (number of answers: 0), answers: []
 -26    0    4    0  -18   (number of answers: 0), answers: []
   0   16  -33   (number of answers: 1), answers: [2.0625]
  88    0    0infinite number of answers
 -76    0   20   (number of answers: 0), answers: []
 -13   60   (number of answers: 1), answers: [4.615384615384615]
   4  -60   (number of answers: 1), answers: [15.0]
   6    0  -18    0    0   (number of answers: 1), answers: [0.0]
   0    0   -3    0   20   (number of answers: 0), answers: []
  26    0  -23    0    0   (number of answers: 1), answers: [0.0]
 -21   16   20   (number of answers: 1), answers: [-1.25]
  48  -45    0   (number of answers: 1), answers: [-0.0]
 -48   -7    0   (number of answers: 1), answers: [-0.0]
 -46  100   (number of answers: 1), answers: [2.1739130434782608]
  14   23   (number of answers: 1), answers: [-1.6428571428571428]
  -2   21  -20   (number of answers: 1), answers: [0.9523809523809523]
   0  -44   44   (number of answers: 1), answers: [1.0]
  40  -27  -48   (number of answers: 1), answers: [-1.7777777777777777]
 -42    0   18    0    0   (number of answers: 1), answers: [0.0]
  10    0    0    0   12   (number of answers: 0), answers: []
   0    0  -68    0    2   (number of answers: 0), answers: []
  48   64   60   (number of answers: 1), answers: [-0.9375]
 -25  -18  -16   (number of answers: 1), answers: [-0.8888888888888888]
 -66   22    0   (number of answers: 1), answers: [0.0]
  46    0    0    0    0infinite number of answers
   0    0   20    0    0   (number of answers: 1), answers: [0.0]
 -19    0    0    0   -7   (number of answers: 0), answers: []
  -3  -16  -72   (number of answers: 1), answers: [-4.5]
  24    9    0   (number of answers: 1), answers: [0.0]
  36    0   46   (number of answers: 0), answers: []
  -8    0    0    0    4   (number of answers: 0), answers: []
 -21    0  -20    0   14   (number of answers: 0), answers: []
  17    0    5    0    0   (number of answers: 1), answers: [0.0]
 -24  -15 -100   (number of answers: 1), answers: [-6.666666666666667]
  -8   25   63   (number of answers: 1), answers: [-2.52]
  21    0   14   (number of answers: 0), answers: []
  42  -24   17   (number of answers: 1), answers: [0.7083333333333334]
  32   18  -69   (number of answers: 1), answers: [3.8333333333333335]
   4   21    6   (number of answers: 1), answers: [-0.2857142857142857]
 -32   10   (number of answers: 1), answers: [0.3125]
 -72   -4   (number of answers: 1), answers: [-0.05555555555555555]
  39  -26   (number of answers: 1), answers: [0.6666666666666666]
  14  -42   (number of answers: 1), answers: [3.0]
   0   24 -100   (number of answers: 1), answers: [4.166666666666667]
  26   38    0   (number of answers: 1), answers: [0.0]
